model,queries,queries_rank,software_development,software_development_rank,puzzles_&_problem_solving,puzzles_&_problem_solving_rank,writing_prompts,writing_prompts_rank
mistral-large-2402,1135.881011934218,43,1103.3289933063445,44,1163.9208839149994,32,1183.2363884457009,36
deepseek-coder-v2,1146.89571920965,36,1221.9934777200153,10,1168.0078829823065,28,1100.2146697148942,52
eureka-chatbot,1159.2578835342724,32,1128.1985611129378,36,1161.0061275924566,33,1193.3357562544102,30
reka-flash-preview-20240611,1133.9814849996226,44,1119.4201923523945,38,1121.2572837584084,48,1161.327492765001,43
phi-3-mini-4k-instruct-june-2024,1057.874208144493,55,1078.1680872926072,50,1121.9783285006015,47,1097.8234511572718,54
nemotron-4-340b-instruct,1146.778029110988,37,1191.6076529239615,21,1153.4027514139439,36,1175.8633251613546,40
gpt-4-1106-preview,1219.055616950703,12,1217.0139001704426,14,1235.684157372919,7,1260.7130296523164,11
gpt-3.5-turbo-0125,1110.436148048268,49,1085.2461410472342,49,1095.3244221595196,53,1078.1591677668112,55
chatgpt-4o-latest,1289.1418670005069,1,1305.1872427734243,1,1256.4212066367138,1,1342.05493157107,1
command-r-plus,1138.318020482829,40,1140.2074561815307,33,1138.2563682990613,40,1240.0046564133463,17
yi-1.5-34b-chat,1154.9117766184272,35,1109.5774343457224,42,1165.711810399599,30,1172.7725643681642,42
phi-3-medium-4k-instruct,1130.1438092246394,46,1099.6195883383732,46,1156.9054796941289,35,1131.6422832541143,47
reka-core-20240722,1202.0904074345535,17,1149.9640679552167,29,1160.6322915411047,34,1251.8088038899518,14
codestral-2405,1101.2354902420866,50,1088.0196866670697,47,1062.3555367913473,55,1119.7474423054423,49
phi-3-small-8k-instruct,1086.1273545030017,52,1075.3763422244147,51,1126.4156913112283,44,1124.1868081515722,48
snowflake-arctic-instruct,1172.001795429692,25,1159.2664322706585,26,1171.3815976548124,25,1201.446982868746,25
gemma-2-9b-it-simpo,1238.4055126738183,8,1100.2962239349836,45,1180.7348685851841,23,1270.2444348647105,7
glm-4-0520,1198.8862288941943,19,1167.9350937073464,25,1181.7637574259863,22,1193.5821011754317,29
gemma-1.1-7b-it,1119.9107603359018,47,1013.9497080581373,55,1071.5589653006264,54,1099.9814814742658,53
dbrx-instruct-preview,1086.1613338988795,51,1044.5148463669575,54,1171.3815976548124,25,1151.51412146222,45
