index,Model,Score
115,mistral-7b-instruct,1009.7141148838033
116,vicuna-7b,1008.7551680974434
117,gemma-2b-it,989.2972262019925
118,qwen1.5-4b-chat,988.7309130098263
119,koala-13b,967.3186633744931
120,chatglm3-6b,957.202612903779
121,gpt4all-13b-snoozy,931.261724994122
122,mpt-7b-chat,929.9794656959427
123,chatglm2-6b,925.6137973495777
124,RWKV-4-Raven-14B,924.9059464301934
125,alpaca-13b,904.9894424410642
126,oasst-pythia-12b,896.2606139704245
127,chatglm-6b,881.6305096744125
128,fastchat-t5-3b,870.4698534617735
129,stablelm-tuned-alpha-7b,843.1361918453335
130,dolly-v2-12b,824.7823640679834
131,llama-13b,804.3507352700365
