Model,Score,Rank_after
llama-3-8b-instruct,1118.8847851853284,57
mixtral-8x7b-instruct-v0.1,1114.0,58
claude-instant-1,1113.7699920418956,59
gpt-3.5-turbo-0125,1110.8360737271055,60
gpt-3.5-turbo-0613,1109.240749047066,61
dbrx-instruct-preview,1107.1297303259996,62
gpt-3.5-turbo-1106,1104.239581262685,63
gemini-pro-dev-api,1098.625655587091,64
gemma-2-2b-it,1097.0836887652372,65
starling-lm-7b-beta,1095.348319408662,66
qwen1.5-14b-chat,1091.279407941627,67
command-r,1089.5329745505824,68
phi-3-mini-4k-instruct,1087.4181832564777,69
yi-34b-chat,1083.316484687221,70
tulu-2-dpo-70b,1082.2685943530014,71
snowflake-arctic-instruct,1081.3710268666382,72
wizardlm-70b,1080.4447571644919,73
gemma-1.1-7b-it,1080.0681908331858,74
openchat-3.5-0106,1074.9281216189465,75
deepseek-llm-67b-chat,1071.2904478227188,76
phi-3-mini-128k-instruct,1066.3704432350567,77
openhermes-2.5-mistral-7b,1062.1231238386026,78
llama-2-70b-chat,1059.0826781608846,79
mistral-7b-instruct-v0.2,1056.5726854076793,80
qwen1.5-7b-chat,1054.5790463122778,81
starling-lm-7b-alpha,1049.9314557648745,82
pplx-70b-online,1045.2733473793755,83
llama2-70b-steerlm-chat,1044.2026981707868,84
vicuna-33b,1040.212764143751,85
openchat-3.5,1038.670831435312,86
llama-2-13b-chat,1035.7930189073602,87
qwen-14b-chat,1034.4071352907376,88
gemma-7b-it,1033.644106712718,89
dolphin-2.2.1-mistral-7b,1031.345011499056,90
solar-10.7b-instruct-v1.0,1031.0303340138908,91
nous-hermes-2-mixtral-8x7b-dpo,1029.6144163624028,92
gemma-1.1-2b-it,1022.8991045378015,93
mpt-30b-chat,1022.1300447373219,94
codellama-34b-instruct,1019.9759351637481,95
zephyr-7b-beta,1015.4839078721182,96
pplx-7b-online,1014.0595485495611,97
stripedhyena-nous-7b,1013.4857650353564,98
llama-2-7b-chat,1013.1625038792965,99
falcon-180b-chat,1011.4936345254144,100
codellama-70b-instruct,1010.4613226914648,101
vicuna-13b,1004.5576733258332,102
zephyr-7b-alpha,1003.9983619661461,103
mistral-7b-instruct,1000.9282424492968,104
guanaco-33b,998.0008400246511,105
wizardlm-13b,994.9164784349089,106
qwen1.5-4b-chat,988.4666998374872,107
olmo-7b-instruct,986.9518884224033,108
gemma-2b-it,986.7791726504021,109
vicuna-7b,970.8563042276322,110
chatglm3-6b,961.140902821552,111
gpt4all-13b-snoozy,922.0046760880218,112
koala-13b,915.6558712771812,113
mpt-7b-chat,908.620873590618,114
RWKV-4-Raven-14B,907.9273033657181,115
chatglm-6b,905.846649292946,116
alpaca-13b,889.7150546228239,117
oasst-pythia-12b,875.14231689654,118
chatglm2-6b,870.3594947107699,119
dolly-v2-12b,855.8852457971353,120
fastchat-t5-3b,848.9930628620027,121
llama-13b,824.5395301179756,122
stablelm-tuned-alpha-7b,820.4893332309395,123
